id,dispName,excToken,lot,tick,asset,freezeQty,weekly,undId
OPTIDX_BANKEX_BFO_2026-02-26_64600_PE,BANKEX 26FEB 64600 PE,1162230,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64700_CE,BANKEX 26FEB 64700 CE,1166354,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64700_PE,BANKEX 26FEB 64700 PE,1167907,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64800_CE,BANKEX 26FEB 64800 CE,1168603,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64800_PE,BANKEX 26FEB 64800 PE,1162721,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64900_CE,BANKEX 26FEB 64900 CE,1166813,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_64900_PE,BANKEX 26FEB 64900 PE,1168349,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_65000_CE,BANKEX 26FEB 65000 CE,1163708,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_65000_PE,BANKEX 26FEB 65000 PE,1165321,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_65100_CE,BANKEX 26FEB 65100 CE,1166043,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_65100_PE,BANKEX 26FEB 65100 PE,1163451,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_65200_CE,BANKEX 26FEB 65200 CE,1164199,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_65200_PE,BANKEX 26FEB 65200 PE,1165817,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_65300_CE,BANKEX 26FEB 65300 CE,1162289,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_65300_PE,BANKEX 26FEB 65300 PE,1163927,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_65400_CE,BANKEX 26FEB 65400 CE,1164636,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_65400_PE,BANKEX 26FEB 65400 PE,1166254,30,0.05,option,900,,IDX_-94_BSE
OPTIDX_BANKEX_BFO_2026-02-26_65500_CE,BANKEX 26FEB 65500 CE,1162770,30,0.05,option,900,,IDX_-94_BSE
