trade_id,symbol,buy_reason,entry_price,exit_price,quantity,lot_size,entry_time,exit_time,realized_pnl
PAPER-1772358070,SENSEX 05MAR 81200 PE,"BB11, CBB0, CBB1, CBB4, CBB8",315.3,291.2,900,10,2026-03-01 15:11:10.886061,2026-03-01 15:11:11.051098,-216900.0000000002
PAPER-1772358072,SENSEX 05MAR 81200 PE,"NRCB, CBBR3",411.1,393.75,900,10,2026-03-01 15:11:12.900083,2026-03-01 15:11:13.070678,-156150.0000000002
PAPER-1772358073,SENSEX 05MAR 81200 PE,"NRCB, CBBR3",424.15,519.7,900,10,2026-03-01 15:11:13.074031,2026-03-01 15:11:13.776904,859950.0000000006
PAPER-1772358076,SENSEX 05MAR 81200 PE,"BB8, CBBR2",433.8,423.65,900,10,2026-03-01 15:11:16.223174,2026-03-01 15:11:16.807380,-91350.0000000003
PAPER-1772358076,SENSEX 05MAR 81200 PE,"BB8, CBBR2",435.65,418.65,900,10,2026-03-01 15:11:16.810243,2026-03-01 15:11:16.992430,-153000.0
PAPER-1772358076,SENSEX 05MAR 81200 PE,"BB8, CBBR2",435.65,422.7,900,10,2026-03-01 15:11:16.994883,2026-03-01 15:11:17.174135,-116549.9999999999
PAPER-1772358078,SENSEX 05MAR 81300 CE,"BB15, Green",1482.65,1450.0,900,10,2026-03-01 15:11:18.655717,2026-03-01 15:11:18.711837,-293850.0000000008
PAPER-1772358078,SENSEX 05MAR 81300 CE,"BB15, Green",1483.75,1480.0,900,10,2026-03-01 15:11:18.715244,2026-03-01 15:11:19.006922,-33750.0
PAPER-1772358080,SENSEX 05MAR 81300 CE,"NRCB, BB12",1169.3,1140.0,900,10,2026-03-01 15:11:20.165882,2026-03-01 15:11:20.821333,-263699.9999999996
PAPER-1772358081,SENSEX 05MAR 81300 CE,"BB12, CBB0, CBB8",1148.6,1263.05,900,10,2026-03-01 15:11:21.485476,2026-03-01 15:11:22.383149,1030050.0000000005
PAPER-1772358084,SENSEX 05MAR 81300 CE,"BB15, BB17, Green",982.2,957.15,900,10,2026-03-01 15:11:24.777657,2026-03-01 15:11:24.916890,-225450.0000000006
